"model","lambda_rule","term","selfreq_S0_primary","sign_S0_primary","selfreq_S1_split_county_excluded","sign_S1_split_county_excluded","selfreq_S2_stable_cocs","sign_S2_stable_cocs","selfreq_S3_no_structural_beds","sign_S3_no_structural_beds","selfreq_S4_persistence","sign_S4_persistence","selfreq_S4b_persistence_full_enum","sign_S4b_persistence_full_enum","selfreq_S5_no_hpi_fl518","sign_S5_no_hpi_fl518"
"pooled_lasso","1se","control_time_index",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso","1se","state_anticamping_strictness",0,NA,0,NA,0,NA,0.375,"negative",0,NA,0,NA,0,NA
"pooled_lasso","1se","state_labor_force_participation_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_medicaid_expansion",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_real_median_rent_2025_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_real_minimum_wage_2025_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_rental_vacancy_rate",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_ssi_state_supplement",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","state_tanf_max_benefit_3person",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_annual_hpi_change_pct",1,"negative",0.875,"negative",0.375,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_annual_hpi_change_pct:FL",0.75,"negative",0.75,"negative",0.75,"negative",0.75,"negative",0.714285714285714,"negative",0.714285714285714,"negative",0.75,"negative"
"pooled_lasso_state_interactions","min","coc_birth_rate_per_1000",0,NA,0,NA,0.25,"negative",0.125,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_birth_rate_per_1000:FL",0,NA,0,NA,0.25,"positive",0.375,"positive",0,NA,1,"positive",0,NA
"pooled_lasso_state_interactions","min","coc_contains_split_county_flag",0,NA,NA,NA,0,NA,1,"negative",0,NA,0,NA,0.25,"positive"
"pooled_lasso_state_interactions","min","coc_contains_split_county_flag:FL",1,"negative",NA,NA,0.25,"negative",0,NA,0.857142857142857,"negative",1,"negative",0,NA
"pooled_lasso_state_interactions","min","coc_contributing_counties",0.125,"negative",0,NA,0.375,"negative",0.75,"negative",0,NA,0,NA,0.5,"negative"
"pooled_lasso_state_interactions","min","coc_contributing_counties:FL",0,NA,1,"positive",0.5,"positive",1,"positive",0,NA,0.571428571428571,"positive",0,NA
"pooled_lasso_state_interactions","min","coc_death_rate_per_1000",0,NA,0.125,"negative",0.75,"negative",0.625,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_death_rate_per_1000:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_domestic_migration_rate_per_1000",0,NA,0.25,"negative",0,NA,0.125,"negative",0,NA,0,NA,0.125,"negative"
"pooled_lasso_state_interactions","min","coc_domestic_migration_rate_per_1000:FL",0,NA,0,NA,0.125,"negative",0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_group_quarters_per_1000_residents",0.625,"positive",0.75,"positive",1,"positive",0.75,"negative",0.571428571428571,"positive",0.142857142857143,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_group_quarters_per_1000_residents:FL",0.875,"negative",0.75,"negative",1,"negative",1,"negative",0.714285714285714,"negative",1,"negative",0.125,"negative"
"pooled_lasso_state_interactions","min","coc_hic_psh_beds_per_10k",1,"positive",1,"positive",1,"positive",NA,NA,1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_hic_psh_beds_per_10k:FL",0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_hic_temporary_beds_per_10k",1,"positive",1,"positive",1,"positive",NA,NA,1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_hic_temporary_beds_per_10k:FL",1,"negative",1,"negative",1,"negative",NA,NA,1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_high_school_graduate_pct",0,NA,0.625,"positive",0,NA,1,"positive",0,NA,0.142857142857143,"positive",0,NA
"pooled_lasso_state_interactions","min","coc_high_school_graduate_pct:FL",0.375,"negative",0,NA,0.75,"negative",0.75,"negative",0.428571428571429,"negative",0.142857142857143,"negative",0.625,"negative"
"pooled_lasso_state_interactions","min","coc_homeownership_rate_pct",0.125,"negative",0.125,"negative",0.5,"negative",1,"negative",0.142857142857143,"negative",0.285714285714286,"negative",0.25,"negative"
"pooled_lasso_state_interactions","min","coc_homeownership_rate_pct:FL",1,"positive",0.75,"positive",0.375,"positive",1,"positive",1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_housing_cost_burdened_households_pct",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_housing_cost_burdened_households_pct:FL",0.375,"negative",0.5,"negative",0,NA,0,NA,0.428571428571429,"negative",0.714285714285714,"negative",0.25,"negative"
"pooled_lasso_state_interactions","min","coc_housing_supply_growth_rate_pct",0,NA,0.125,"positive",0,NA,0.625,"positive",0,NA,0,NA,0.125,"negative"
"pooled_lasso_state_interactions","min","coc_housing_supply_growth_rate_pct:FL",0.125,"positive",0.375,"positive",0.125,"positive",0.25,"positive",0.142857142857143,"positive",0.142857142857143,"positive",0,NA
"pooled_lasso_state_interactions","min","coc_housing_units_per_1000_residents",0.625,"positive",0,NA,0,NA,1,"positive",0.571428571428571,"positive",0.714285714285714,"positive",0.625,"positive"
"pooled_lasso_state_interactions","min","coc_housing_units_per_1000_residents:FL",0,NA,0.25,"negative",0.25,"negative",1,"negative",0,NA,0.285714285714286,"negative",0.5,"negative"
"pooled_lasso_state_interactions","min","coc_income_inequality_ratio",0.625,"negative",1,"negative",0.125,"negative",0.75,"positive",0.857142857142857,"negative",0.571428571428571,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_income_inequality_ratio:FL",1,"negative",0,NA,0.75,"negative",1,"negative",1,"negative",0,NA,0.875,"negative"
"pooled_lasso_state_interactions","min","coc_international_migration_rate_per_1000",1,"negative",0.5,"negative",0.75,"negative",1,"negative",1,"negative",0.142857142857143,"negative",0.625,"negative"
"pooled_lasso_state_interactions","min","coc_international_migration_rate_per_1000:FL",0.5,"negative",0.875,"negative",0,NA,0.25,"negative",0.571428571428571,"negative",0.857142857142857,"negative",0.375,"negative"
"pooled_lasso_state_interactions","min","coc_log_estimated_population",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_log_estimated_population:FL",0.5,"negative",0,NA,1,"negative",1,"negative",0.571428571428571,"negative",0.714285714285714,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_multifamily_permit_share_pct",0,NA,0.25,"positive",0.5,"positive",0.25,"positive",0,NA,0.285714285714286,"positive",0.25,"positive"
"pooled_lasso_state_interactions","min","coc_multifamily_permit_share_pct:FL",0.5,"negative",0.375,"negative",0.5,"negative",0.5,"negative",0.428571428571429,"negative",0.428571428571429,"negative",0.5,"negative"
"pooled_lasso_state_interactions","min","coc_permits_per_1000_housing_units",0,NA,0,NA,0,NA,0.25,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_permits_per_1000_housing_units:FL",0,NA,0,NA,0,NA,0.25,"positive",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_permits_value_per_1000_housing_units_2025_usd",0.25,"negative",0.25,"negative",0.625,"negative",1,"negative",0.142857142857143,"negative",0.285714285714286,"negative",0.25,"negative"
"pooled_lasso_state_interactions","min","coc_permits_value_per_1000_housing_units_2025_usd:FL",0.5,"positive",0.375,"positive",0.25,"positive",0,NA,0.571428571428571,"positive",0.571428571428571,"positive",0.5,"positive"
"pooled_lasso_state_interactions","min","coc_population_density_per_sq_mile",1,"negative",1,"negative",0,NA,0.625,"positive",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_population_density_per_sq_mile:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.25,"positive"
"pooled_lasso_state_interactions","min","coc_population_growth_rate_pct",1,"negative",0.875,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_population_growth_rate_pct:FL",0,NA,0,NA,0.375,"negative",0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_poverty_all_pct",0,NA,0,NA,0,NA,0.5,"negative",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_poverty_all_pct:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_poverty_child_pct",0.25,"negative",0.375,"negative",1,"negative",0.125,"negative",0.285714285714286,"negative",0.571428571428571,"negative",0.375,"negative"
"pooled_lasso_state_interactions","min","coc_poverty_child_pct:FL",0,NA,0,NA,0,NA,0.5,"negative",0,NA,0.571428571428571,"negative",0,NA
"pooled_lasso_state_interactions","min","coc_real_gdp_per_capita_2017_usd",0,NA,0,NA,0,NA,0.625,"positive",0,NA,0,NA,0.125,"positive"
"pooled_lasso_state_interactions","min","coc_real_gdp_per_capita_2017_usd:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index",1,"positive",1,"positive",0.625,"positive",1,"positive",1,"positive",1,"positive",1,"positive"
"pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index:FL",1,"negative",1,"negative",1,"negative",0.875,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso_state_interactions","min","coc_real_median_household_income_2025_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_real_median_household_income_2025_usd:FL",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_real_per_capita_personal_income_2025_usd",0.25,"negative",0.25,"negative",0,NA,0.25,"positive",0.285714285714286,"negative",1,"negative",0,NA
"pooled_lasso_state_interactions","min","coc_real_per_capita_personal_income_2025_usd:FL",0,NA,0,NA,0,NA,0.25,"negative",0,NA,0,NA,0,NA
"pooled_lasso_state_interactions","min","coc_relative_home_price_index_2000_base",0,NA,0,NA,0,NA,0.75,"negative",0,NA,0,NA,NA,NA
