"variable","role","class","n_missing","pct_missing","n_infinite","n_unique"
"state","identifier","character",0,0,0,2
"state_abbr","identifier","character",0,0,0,2
"coc_number","identifier","character",0,0,0,71
"coc_name","identifier","character",0,0,0,71
"predictor_year","identifier","numeric",0,0,0,13
"target_year","identifier","numeric",0,0,0,13
"target_homeless_rate_per_10k","target","numeric",0,0,0,898
"control_state_florida","control","numeric",0,0,0,2
"control_time_index","control","numeric",0,0,0,13
"coc_log_estimated_population","predictor","numeric",0,0,0,898
"coc_population_density_per_sq_mile","predictor","numeric",0,0,0,898
"coc_contributing_counties","predictor","numeric",0,0,0,8
"coc_contains_split_county_flag","predictor","numeric",0,0,0,2
"coc_housing_units_per_1000_residents","predictor","numeric",0,0,0,861
"coc_permits_per_1000_housing_units","predictor","numeric",0,0,0,862
"coc_multifamily_permit_share_pct","predictor","numeric",0,0,0,727
"coc_birth_rate_per_1000","predictor","numeric",0,0,0,859
"coc_death_rate_per_1000","predictor","numeric",0,0,0,859
"coc_international_migration_rate_per_1000","predictor","numeric",0,0,0,859
"coc_domestic_migration_rate_per_1000","predictor","numeric",0,0,0,859
"coc_group_quarters_per_1000_residents","predictor","numeric",0,0,0,866
"coc_population_growth_rate_pct","predictor","numeric",0,0,0,859
"coc_housing_supply_growth_rate_pct","predictor","numeric",0,0,0,859
"coc_poverty_all_pct","predictor","numeric",0,0,0,436
"coc_poverty_child_pct","predictor","numeric",0,0,0,501
"coc_real_median_household_income_2025_usd","predictor","numeric",0,0,0,859
"coc_real_per_capita_personal_income_2025_usd","predictor","numeric",0,0,0,858
"coc_unemployment_rate_pct","predictor","numeric",0,0,0,387
"coc_high_school_graduate_pct","predictor","numeric",0,0,0,470
"coc_homeownership_rate_pct","predictor","numeric",0,0,0,860
"coc_housing_cost_burdened_households_pct","predictor","numeric",0,0,0,859
"coc_income_inequality_ratio","predictor","numeric",0,0,0,859
"coc_annual_hpi_change_pct","predictor","numeric",0,0,0,790
"coc_real_gdp_per_capita_2017_usd","predictor","numeric",0,0,0,862
"state_real_minimum_wage_2025_usd","predictor","numeric",0,0,0,26
"state_medicaid_expansion","predictor","numeric",0,0,0,2
"coc_hic_temporary_beds_per_10k","predictor","numeric",0,0,0,898
"coc_hic_psh_beds_per_10k","predictor","numeric",0,0,0,839
"state_homeless_funding_per_capita","predictor","numeric",0,0,0,22
"state_anticamping_strictness","predictor","numeric",0,0,0,2
"state_tanf_max_benefit_3person","predictor","numeric",0,0,0,10
"state_ssi_state_supplement","predictor","numeric",0,0,0,6
"state_labor_force_participation","predictor","numeric",0,0,0,24
"state_substance_use_disorder_rate","predictor","numeric",0,0,0,15
"state_serious_mental_illness_rate","predictor","numeric",0,0,0,6
"state_uninsured_rate","predictor","numeric",0,0,0,23
"state_average_student_debt_per_borrower","predictor","numeric",0,0,0,20
"state_avg_in_state_tuition","predictor","numeric",0,0,0,26
"state_pct_age_18_24","predictor","numeric",0,0,0,19
"state_pct_age_65plus","predictor","numeric",0,0,0,26
"state_avg_household_size","predictor","numeric",0,0,0,15
"state_real_median_rent_2025_usd","predictor","numeric",0,0,0,26
"state_real_median_home_price_2025_usd","predictor","numeric",0,0,0,26
"state_home_price_to_income_ratio","predictor","numeric",0,0,0,26
"state_rental_vacancy_rate","predictor","numeric",0,0,0,23
"state_real_home_price_growth_pct","predictor","numeric",0,0,0,26
